proto,port
tcp,3324
tcp,3325
tcp,3333
tcp,3351
tcp,3367
tcp,3369
tcp,3370
tcp,3371
tcp,3372
tcp,3389
tcp,3390
tcp,3404
tcp,3476
tcp,3493
tcp,3517
tcp,3527
tcp,3546
tcp,3551
tcp,3580
tcp,3659
tcp,3689
tcp,3690
tcp,3703
tcp,3737
tcp,3766
tcp,3784
tcp,3800
tcp,3801
tcp,3809
tcp,3814
tcp,3826
tcp,3827
tcp,3828
tcp,3851
tcp,3869
tcp,3871
tcp,3878
tcp,3880
tcp,3889
tcp,3905
tcp,3914
tcp,3918
tcp,3920
tcp,3945
tcp,3971
tcp,3986
tcp,3995
tcp,3998
tcp,4000
tcp,4001
tcp,4002
tcp,4003
tcp,4004
tcp,4005
tcp,4006
tcp,4045
tcp,4111
tcp,4125
tcp,4126
tcp,4129
tcp,4224
tcp,4242
tcp,4279
tcp,4321
tcp,4343
tcp,4443
tcp,4444
tcp,4445
tcp,4446
tcp,4449
tcp,4550
tcp,4567
tcp,4662
tcp,4848
tcp,4899
tcp,4900
tcp,4998
tcp,5000
tcp,5001
tcp,5002
tcp,5003
tcp,5004
tcp,5009
tcp,5030
tcp,5033
tcp,5050
tcp,5051
tcp,5054
tcp,5060
tcp,5061
tcp,5080
tcp,5087
tcp,5100
tcp,5101
tcp,5102
tcp,5120
tcp,5190
tcp,5200
tcp,5214
tcp,5221
tcp,5222
tcp,5225
tcp,5226
tcp,5269
tcp,5280
tcp,5298
tcp,5357
tcp,5405
tcp,5414
tcp,5431
tcp,5432
tcp,5440
tcp,5500
tcp,5510
tcp,5544
tcp,5550
tcp,5555
tcp,5560
tcp,5566
tcp,5631
tcp,5633
tcp,5666
tcp,5678
tcp,5679
tcp,5718
tcp,5730
tcp,5800
tcp,5801
tcp,5802
tcp,5810
tcp,5811
tcp,5815
tcp,5822
tcp,5825
tcp,5850
tcp,5859
tcp,5862
tcp,5877
tcp,5900
tcp,5901
tcp,5902
tcp,5903
tcp,5904
tcp,5906
tcp,5907
tcp,5910
tcp,5911
tcp,5915
tcp,5922
tcp,5925
tcp,5950
tcp,5952
tcp,5959
tcp,5960
tcp,5961
tcp,5962
tcp,5963
tcp,5987
tcp,5988
tcp,5989
tcp,5998
tcp,5999
tcp,6000
tcp,6001
tcp,6002
tcp,6003
tcp,6004
tcp,6005
tcp,6006
tcp,6007
tcp,6009
tcp,6025
tcp,6059
tcp,6100
tcp,6101
tcp,6106
tcp,6112
tcp,6123
tcp,6129
tcp,6156
tcp,6346
tcp,6389
tcp,6502
tcp,6510
tcp,6543
tcp,6547
tcp,6565
tcp,6566
tcp,6567
tcp,6580
tcp,6646
tcp,6666
tcp,6667
tcp,6668
tcp,6669
tcp,6689
tcp,6692
tcp,6699
tcp,6779
tcp,6788
tcp,6789
tcp,6792
tcp,6839
tcp,6881
tcp,6901
tcp,6969
tcp,7000
tcp,7001
tcp,7002
tcp,7004
tcp,7007
tcp,7019
tcp,7025
tcp,7070
tcp,7100
tcp,7103
tcp,7106
tcp,7200
tcp,7201
tcp,7402
tcp,7435
tcp,7443
tcp,7496
tcp,7512
tcp,7625
tcp,7627
tcp,7676
tcp,7741
tcp,7777
tcp,7778
tcp,7800
tcp,7911
tcp,7920
tcp,7921
tcp,7937
tcp,7938
tcp,7999
tcp,8000
tcp,8001
tcp,8002
tcp,8007
tcp,8008
tcp,8009
tcp,8010
tcp,8011
tcp,8021
tcp,8022
tcp,8031
tcp,8042
tcp,8045
tcp,8080
tcp,8081
tcp,8082
tcp,8083
tcp,8084
tcp,8085
tcp,8086
tcp,8087
tcp,8088
tcp,8089
tcp,8090
tcp,8093
tcp,8099
tcp,8100
tcp,8180
tcp,8181
tcp,8192
tcp,8193
tcp,8194
tcp,8200
tcp,8222
tcp,8254
tcp,8290
tcp,8291
tcp,8292
tcp,8300
tcp,8333
tcp,8383
tcp,8400
tcp,8402
tcp,8443
tcp,8500
tcp,8600
tcp,8649
tcp,8651
tcp,8652
tcp,8654
tcp,8701
tcp,8800
tcp,8873
tcp,8888
tcp,8899
tcp,8994
tcp,9000
tcp,9001
tcp,9002
tcp,9003
tcp,9009
tcp,9010
tcp,9011
tcp,9040
tcp,9050
tcp,9071
tcp,9080
tcp,9081
tcp,9090
tcp,9091
tcp,9099
tcp,9100
tcp,9101
tcp,9102
tcp,9103
tcp,9110
tcp,9111
tcp,9200
tcp,9207
tcp,9220
tcp,9290
tcp,9415
tcp,9418
tcp,9485
tcp,9500
tcp,9502
tcp,9503
tcp,9535
tcp,9575
tcp,9593
tcp,9594
tcp,9595
tcp,9618
tcp,9666
tcp,9876
tcp,9877
tcp,9878
tcp,9898
tcp,9900
tcp,9917
tcp,9929
tcp,9943
tcp,9944
tcp,9968
tcp,9998
tcp,9999
tcp,10000
tcp,10001
tcp,10002
tcp,10003
tcp,10004
tcp,10009
tcp,10010
tcp,10012
tcp,10024
tcp,10025
tcp,10082
tcp,10180
tcp,10215
tcp,10243
tcp,10566
tcp,10616
tcp,10617
tcp,10621
tcp,10626
tcp,10628
tcp,10629
tcp,10778
tcp,11110
tcp,11111
tcp,11967
tcp,12000
tcp,12174
tcp,12265
tcp,12345
tcp,13456
tcp,13722
tcp,13782
tcp,13783
tcp,14000
tcp,14238
tcp,14441
tcp,14442
tcp,15000
tcp,15002
tcp,15003
tcp,15004
tcp,15660
tcp,15742
tcp,16000
tcp,16001
tcp,16012
tcp,16016
tcp,16018
tcp,16080
tcp,16113
tcp,16992
tcp,16993
tcp,17877
tcp,17988
tcp,18040
tcp,18101
tcp,18988
tcp,19101
tcp,19283
tcp,19315
tcp,19350
tcp,19780
tcp,19801
tcp,19842
tcp,20000
tcp,20005
tcp,20031
tcp,20221
tcp,20222
tcp,20828
tcp,21571
tcp,22939
tcp,23502
tcp,24444
tcp,24800
tcp,25734
tcp,25735
tcp,26214
tcp,27000
tcp,27352
tcp,27353
tcp,27355
tcp,27356
tcp,27715
tcp,28201
tcp,30000
tcp,30718
tcp,30951
tcp,31038
tcp,31337
tcp,32768
tcp,32769
tcp,32770
tcp,32771
tcp,32772
tcp,32773
tcp,32774
tcp,32775
tcp,32776
tcp,32777
tcp,32778
tcp,32779
tcp,32780
tcp,32781
tcp,32782
tcp,32783
tcp,32784
tcp,32785
tcp,33354
tcp,33899
tcp,34571
tcp,34572
tcp,34573
tcp,35500
tcp,38292
tcp,40193
tcp,40911
tcp,41511
tcp,42510
tcp,44176
tcp,44442
tcp,44443
tcp,44501
tcp,45100
tcp,48080
tcp,49152
tcp,49153
tcp,49154
tcp,49155
tcp,49156
tcp,49157
tcp,49158
tcp,49159
tcp,49160
tcp,49161
tcp,49163
tcp,49165
tcp,49167
tcp,49175
tcp,49176
tcp,49400
tcp,49999
tcp,50000
tcp,50001
tcp,50002
tcp,50003
tcp,50006
tcp,50300
tcp,50389
tcp,50500
tcp,50636
tcp,50800
tcp,51103
tcp,51493
tcp,52673
tcp,52822
